rnaId,leukgen_sample_id
1406_RNA_IGO_07456_AC_175,E-H-135730-T1-1-D1-1
1414_RNA_IGO_07456_AC_102,E-H-135732-T1-1-D1-1
1433_RNA_IGO_07456_AC_176,E-H-135734-T1-1-D1-1
1435_RNA_IGO_07456_AC_177,E-H-135735-T1-1-D1-1
1451_RNA_IGO_07456_AC_178,E-H-135736-T1-1-D1-1
1459_RNA_IGO_07456_AC_103,E-H-135738-T1-1-D1-1
1561_RNA_IGO_07456_AC_180,E-H-135741-T1-1-D1-1
1595_RNA_IGO_07456_AC_181,E-H-135744-T1-1-D1-1
1631_RNA_IGO_07456_AC_182,E-H-135745-T1-1-D1-1
1768_RNA_IGO_07456_AC_104,E-H-135746-T1-1-D1-1
1809_RNA_IGO_07456_AC_183,E-H-135751-T1-1-D1-1
1872_RNA_IGO_07456_AC_106,E-H-135757-T1-1-D1-1
1873_RNA_IGO_07456_AC_107,E-H-135758-T1-1-D1-1
1876_RNA_IGO_07456_AC_108,E-H-135761-T1-1-D1-1
1878_RNA_IGO_07456_AC_109,E-H-135763-T1-1-D1-1
1879_RNA_IGO_07456_AC_110,E-H-135764-T1-1-D1-1
1884_RNA_IGO_07456_AC_111,E-H-135768-T1-1-D1-1
1885_RNA_IGO_07456_AC_185,E-H-135769-T1-1-D1-1
1889_RNA_IGO_07456_AC_186,E-H-135771-T1-1-D1-1
1892_RNA_IGO_07456_AC_112,E-H-135773-T1-1-D1-1
1893_RNA_IGO_07456_AC_188,E-H-135774-T1-1-D1-1
1896_RNA_IGO_07456_AC_113,E-H-135775-T1-1-D1-1
1911_RNA_IGO_07456_AC_118,E-H-135781-T1-1-D1-1
1939_RNA_IGO_07456_AC_191,E-H-135788-T1-1-D1-1
1957_RNA_IGO_07456_AC_119,E-H-135789-T1-1-D1-1
1980_RNA_IGO_07456_AC_120,E-H-135792-T1-1-D1-1
2000_RNA_IGO_07456_AC_193,E-H-135794-T1-1-D1-1
2001_RNA_IGO_07456_AC_194,E-H-135795-T1-1-D1-1
2002_RNA_IGO_07456_AC_121,E-H-135796-T1-1-D1-1
2004_RNA_IGO_07456_AC_196,E-H-135798-T1-1-D1-1
2005_RNA_IGO_07456_AC_197,E-H-135799-T1-1-D1-1
2007_RNA_IGO_07456_AC_123,E-H-135801-T1-1-D1-1
2008_RNA_IGO_07456_AC_198,E-H-135802-T1-1-D1-1
2013_RNA_IGO_07456_AC_199,E-H-135806-T1-1-D1-1
2023_RNA_IGO_07456_AC_125,E-H-135807-T1-1-D1-1
2133_RNA_IGO_07456_AC_126,E-H-135808-T1-1-D1-1
2135_RNA_IGO_07456_AC_127,E-H-135809-T1-1-D1-1
WMH0970A_RNA_IGO_07456_AC_200,E-H-135842-T1-1-D1-1
WMH0912A_RNA_IGO_07456_AC_201,E-H-135843-T1-1-D1-1
WMH0909A_RNA_IGO_07456_AC_202,E-H-135844-T1-1-D1-1
WMH0836A_RNA_IGO_07456_AC_203,E-H-135846-T1-1-D1-1
WMH0823A_RNA_IGO_07456_AC_204,E-H-135847-T1-1-D1-1
WMH0721A_RNA_IGO_07456_AC_205,E-H-135848-T1-1-D1-1
WMH0661A_RNA_IGO_07456_AC_206,E-H-135850-T1-1-D1-1
WMH0576A_RNA_IGO_07456_AC_207,E-H-135851-T1-1-D1-1
WMH1892A_RNA_IGO_07456_AC_208,E-H-135852-T1-1-D1-1
WMH1845A_RNA_IGO_07456_AC_209,E-H-135853-T1-1-D1-1
WMH1834A_RNA_IGO_07456_AC_210,E-H-135854-T1-1-D1-1
WMH1816A_RNA_IGO_07456_AC_211,E-H-135855-T1-1-D1-1
WMH0178A_RNA_IGO_07456_AC_212,E-H-135856-T1-1-D1-1
WMH1708A_RNA_IGO_07456_AC_213,E-H-135857-T1-1-D1-1
WMH1694A_RNA_IGO_07456_AC_214,E-H-135858-T1-1-D1-1
WMH1524A_RNA_IGO_07456_AC_215,E-H-135859-T1-1-D1-1
WMH1507A_RNA_IGO_07456_AC_216,E-H-135860-T1-1-D1-1
WMH1295B_RNA_IGO_07456_AC_218,E-H-135862-T1-1-D1-1
WMH1254A_RNA_IGO_07456_AC_219,E-H-135863-T1-1-D1-1
WMH1229A_RNA_IGO_07456_AC_220,E-H-135864-T1-1-D1-1
WMH1060A_RNA_IGO_07456_AC_221,E-H-135865-T1-1-D1-1
WMH1025A_RNA_IGO_07456_AC_222,E-H-135866-T1-1-D1-1
TP10-497-T_IGO_07456_AC_223,E-H-135868-T1-1-D1-1
TP10-1097-T_IGO_07456_AC_224,E-H-135869-T1-1-D1-1
TP11-1305-T_IGO_07456_AC_225,E-H-135870-T1-1-D1-1
TP11-1379-T_IGO_07456_AC_226,E-H-135871-T1-1-D1-1
TP13-1238-T_IGO_07456_AC_227,E-H-135872-T1-1-D1-1
TP14-PV106-T_IGO_07456_AC_228,E-H-135873-T1-1-D1-1
TP16-M82-T_IGO_07456_AC_229,E-H-135874-T1-1-D1-1
TP07-238-T_IGO_07456_AC_230,E-H-135877-T1-1-D1-1
TP17-M552-T_IGO_07456_AC_231,E-H-135878-T1-1-D1-1
TP17-M339-T_IGO_07456_AC_232,E-H-135880-T1-1-D1-1
TP09-1357-T_IGO_07456_AC_233,E-H-135881-T1-1-D1-1
TP13-1593-T_IGO_07456_AC_235,E-H-135883-T1-1-D1-1
TP16-M777-T_IGO_07456_AC_236,E-H-135885-T1-1-D1-1
TP16-M808-T_IGO_07456_AC_237,E-H-135886-T1-1-D1-1
TP06-1476-T_IGO_07456_AC_238,E-H-135887-T1-1-D1-1
TP17-M413-T_IGO_07456_AC_239,E-H-135888-T1-1-D1-1
TP17-M142-T_IGO_07456_AC_240,E-H-135889-T1-1-D1-1
TP10-960-T_IGO_07456_AC_241,E-H-135890-T1-1-D1-1
TP09-1711-T_IGO_07456_AC_242,E-H-135891-T1-1-D1-1
ON015T_IGO_07456_AC_243,E-H-135910-T1-1-D1-1
ON109T_IGO_07456_AC_244,E-H-135914-T1-1-D1-1
ON115T_IGO_07456_AC_245,E-H-135915-T1-1-D1-1
ON142T_IGO_07456_AC_246,E-H-135916-T1-1-D1-1
ON166T_IGO_07456_AC_247,E-H-135918-T1-1-D1-1
ON185T_IGO_07456_AC_248,E-H-135919-T1-1-D1-1
ON205T_IGO_07456_AC_249,E-H-135920-T1-1-D1-1
ON284T_IGO_07456_AC_250,E-H-135924-T1-1-D1-1
HOV304T_IGO_07456_AC_251,E-H-135925-T1-1-D1-1
HOV484T_IGO_07456_AC_252,E-H-135927-T1-1-D1-1
HOV499T_IGO_07456_AC_253,E-H-135928-T1-1-D1-1
HOV517T_IGO_07456_AC_254,E-H-135929-T1-1-D1-1
HOV552T_IGO_07456_AC_255,E-H-135930-T1-1-D1-1
S99-31586_IGO_07456_AC_19,I-H-130900-T1-1-D1-1
S03-22253_IGO_07456_AC_20,I-H-130903-T1-1-D1-1
S03-43641_IGO_07456_AC_21,I-H-130904-T1-1-D1-1
S04-24744_IGO_07456_AC_22,I-H-130905-T1-1-D1-1
S04-45648_IGO_07456_AC_23,I-H-130907-T1-1-D1-1
S99-2922_IGO_07456_AC_17,I-H-130908-T1-1-D1-1
S97-37638_IGO_07456_AC_14,I-H-130910-T1-1-D1-1
S06-46842_IGO_07456_AC_25,I-H-130916-T1-1-D1-1
S06-48260_IGO_07456_AC_26,I-H-130917-T1-1-D1-1
S07-19019_IGO_07456_AC_27,I-H-130919-T1-1-D1-1
S98-11863_IGO_07456_AC_15,I-H-130920-T1-1-D1-1
S08-9694_IGO_07456_AC_28,I-H-130922-T1-1-D1-1
S08-33176_IGO_07456_AC_29,I-H-130927-T1-1-D1-1
S09-1577_IGO_07456_AC_30,I-H-130928-T1-1-D1-1
S11-8583-1_IGO_07456_AC_33,I-H-130937-T1-1-D1-1
S11-29059_IGO_07456_AC_34,I-H-130938-T1-1-D1-1
S13-9703_IGO_07456_AC_35,I-H-130947-T1-1-D1-1
S13-20746_IGO_07456_AC_36,I-H-130949-T1-1-D1-1
S14-35051_IGO_07456_AC_38,I-H-130954-T1-1-D1-1
S15-14321_IGO_07456_AC_40,I-H-130959-T1-1-D1-1
S99-16320_IGO_07456_AC_18,I-H-130969-T1-1-D1-1
